Status,Venue,Exhibitor,City,State,Venue MB ID,Venue Rentrak ID,Buyer,Exhibitor's Ref ID
Target,King Opera House Albia,,Albia,Iowa,US20216390,4415,Joe Garel (Western),
Target,Star Cinema Grill Vintage Park 7 (SCG-VP INC),Star Cinema Grill,Houston,Texas,US20205365,991401,"John Walsh, Blake Zaugg",
Target,The Cañon 4,Cinema Lab,Cañon City,Colorado,US20213029,990153,Buck Kolkmeyer,
Target,Four Brothers Drive-In Amenia 1,,Amenia,New York,US20214142,991462,,
Target,Premiere Abilene 10 *temp 8 screens*,Premiere Cinema Corp.,Abilene,Texas,US20215330,4042,Sam Herting CSC,
Target,Voy 61 Drive-In Maquoketa 1,,Delmar,Iowa,US20216258,902606,Kurt Miller,
Target,Marcus Addison 21,Marcus Theatres,Addison,Illinois,US20211859,7576,Kim Barengo,
Target,Landmark Aquarius 2,,East Palo Alto,California,US20217629,4801,Cassi McDaniel,
Target,Corning American Theatre,,Corning,Iowa,US20213539,902604,Joe Garel (Western),
Target,Santikos Westlakes 9,Santikos Theatres,San Antonio,Texas,US20205370,5247,Kelly Wasserman,
Target,Route 66 Drive-In Springfield 2,,Springfield,Illinois,US20214582,903702,Florence Groner,
Target,Academy Pasadena 6,,Pasadena,California,US20216296,7282,Doug Freed,
Target,CineLux Almaden San Jose 7,CineLux Theatres,San Jose,California,US20213485,904511,Howard Taormino,
Target,Santikos New Braunfels 11,Santikos Theatres,New Braunfels,Texas,US20205372,7836,Kelly Wasserman,
Target,Your Neighborhood Theatres Bangor Mall Cinema 10,Your Neighborhood Theatre!,Bangor,Maine,US20213647,2871,Denis Foley,
Target,Ace Hotel Theatre Los Angeles 1,,Los Angeles,California,US20215876,991696,,
Agreed,MJR Adrian Cinema 10,MJR Cinemas,Adrian,Michigan,US20214887,389,Erik Gubert,
Agreed,Regal Aiken Mall 8,Regal Entertainment Group,Aiken,South Carolina,US20212359,6661,Daniel Worsham,252
Target,Classic Cinemas Beloit Luxury 10,Classic Cinemas,Beloit,Wisconsin,US20215581,7721,Michael Schindler,
Target,12th Street Cinema Aurora 1,,Aurora,Nebraska,US20214321,902643,Fran Volan,
Agreed,Studio Movie Grill North Point Alpharetta 14,Studio Movie Grill,Alpharetta,Georgia,US20211126,6746,Joe Radtke,
Target,Eugene Art House 2,,Eugene,Oregon,US20213365,4690,Adam Birnbaum,
Target,VIP Bay City 10 & GDX,VIP Cinemas,Bay City,Michigan,US20210105,5196,Steve Felperin,
Target,Acme Theatre Riverton 1,Barry Cinemas Inc,Riverton,Wyoming,US20213312,3824,Codi Kruse,
Agreed,NCG Alma Cinema 6,NCG Cinemas,Alma,Michigan,US20215006,5712,Michelle Orvis,
Target,13-24 Drive In Wabash 1,,Wabash,Indiana,US20214420,6023,Steve Zeiser,
Target,Walker Capitol 2,Walker Cinemas,Brigham City,Utah,US20205026,3976,Kerry Walker,
Target,Ada Theatre 1,,Ada,Ohio,US20213878,8141,,
Target,Santikos Amstar Lake Mary 12 ,Santikos Theatres,Lake Mary,Florida,US20209109,905013,#N/A,
Target,Film Alley Breckenridge,"Schulman Theatres, Inc.",Little Rock,Arkansas,US20211927,8470,Nathan Schulman,
Target,1932 Criterion Bar Harbor 1,The 1932 Criterion Theatre,Bar Harbor,Maine,US20213206,2856,Adam Birnbaum,
Target,Santikos AmStar Alabaster 14,Santikos Theatres,Alabaster,Alabama,US20209107,989929,Kelly Wasserman,
Target,Landmark at The Glen 10,Landmark Theatres,Glenview,Illinois,US20210053,904951,Mike Delorenzo,
Agreed,Cinemark Ann Arbor 20 + IMAX (Ypsilanti),Cinemark Usa Inc.,Ypsilanti,Michigan,US20211542,990178,Beth Teal,1097
Agreed,Regal Alamo Quarry San Antonio 16 *TEMP 10*,Regal Entertainment Group,San Antonio,Texas,US20212409,7905,Joseph Ranallo,939
Target,Admiral Seattle 2,Far Away Entertainment LLC,Seattle,Washington,US20213108,5101,Lori Burkhalter,
Agreed,Harkins Arizona Mills 18 w/IMAX,Harkins Theatres,Tempe,Arizona,US20210767,7801,Barry Bruno,16
Target,West Wind Capitol Drive-In 6,West Wind Drive-Ins,San Jose,California,US20216308,4677,Morrie Birnbaum,
Agreed,Regal Edwards Aliso Viejo Stadium 20 *temp 15* & IMAX,Regal Entertainment Group,Aliso Viejo,California,US20211932,990927,Austin Williams,1032
Agreed,Cinemark Antelope Valley Mall Palmdale 16,Cinemark Usa Inc.,Palmdale,California,US20211451,990341,Jennifer Hernandez,362
